Media,Sample,Day_Replicate,OD,Day,Technical_Replicate,Sample_Type,Combined_Group,X_Axis_Time_Days
No Glucose,Filtered Cyano 6,Day 6 Replicate #1,0.086,6,1,Filtered Cyano,No Glucose + Filtered Cyano,6
No Glucose,No Cyano 5,Day 6 Replicate #1,0.108,6,1,No Cyano,No Glucose + No Cyano,6
No Glucose,No Cyano 6,Day 6 Replicate #1,0.139,6,1,No Cyano,No Glucose + No Cyano,6
No Glucose,No Cyano 7,Day 6 Replicate #1,0.138,6,1,No Cyano,No Glucose + No Cyano,6
Regular HS,No Cyano 2,Day 6 Replicate #1,0.167,6,1,No Cyano,Regular HS + No Cyano,6
Regular HS,No Cyano 3,Day 6 Replicate #1,0.077,6,1,No Cyano,Regular HS + No Cyano,6
Regular HS,No Cyano 4,Day 6 Replicate #1,0.158,6,1,No Cyano,Regular HS + No Cyano,6
Regular HS,No Cyano 5,Day 6 Replicate #1,0.266,6,1,No Cyano,Regular HS + No Cyano,6
Regular HS,No Cyano 6,Day 6 Replicate #1,0.201,6,1,No Cyano,Regular HS + No Cyano,6
Regular HS,No Cyano 7,Day 6 Replicate #1,0.177,6,1,No Cyano,Regular HS + No Cyano,6
No Glucose,No Cyano 2,Day 6 Replicate #2,0.057,6,2,No Cyano,No Glucose + No Cyano,6
No Glucose,No Cyano 3,Day 6 Replicate #2,0.056,6,2,No Cyano,No Glucose + No Cyano,6
No Glucose,No Cyano 4,Day 6 Replicate #2,0.057,6,2,No Cyano,No Glucose + No Cyano,6
No Glucose,Filtered Cyano 2,Day 6 Replicate #2,0.113,6,2,Filtered Cyano,No Glucose + Filtered Cyano,6
No Glucose,Filtered Cyano 3,Day 6 Replicate #2,0.098,6,2,Filtered Cyano,No Glucose + Filtered Cyano,6
No Glucose,Filtered Cyano 4,Day 6 Replicate #2,0.094,6,2,Filtered Cyano,No Glucose + Filtered Cyano,6
No Glucose,Filtered Cyano 5,Day 6 Replicate #2,0.05,6,2,Filtered Cyano,No Glucose + Filtered Cyano,6
No Glucose,Filtered Cyano 6,Day 6 Replicate #2,0.087,6,2,Filtered Cyano,No Glucose + Filtered Cyano,6
No Glucose,No Cyano 5,Day 6 Replicate #2,0.114,6,2,No Cyano,No Glucose + No Cyano,6
No Glucose,No Cyano 6,Day 6 Replicate #2,0.142,6,2,No Cyano,No Glucose + No Cyano,6
No Glucose,No Cyano 7,Day 6 Replicate #2,0.138,6,2,No Cyano,No Glucose + No Cyano,6
Regular HS,No Cyano 2,Day 6 Replicate #2,0.174,6,2,No Cyano,Regular HS + No Cyano,6
Regular HS,No Cyano 3,Day 6 Replicate #2,0.078,6,2,No Cyano,Regular HS + No Cyano,6
Regular HS,No Cyano 4,Day 6 Replicate #2,0.194,6,2,No Cyano,Regular HS + No Cyano,6
Regular HS,No Cyano 5,Day 6 Replicate #2,0.27,6,2,No Cyano,Regular HS + No Cyano,6
