Media,Sample,Time_Replicate,OD,Date,Technical_Replicate,Sample_Type,Combined_Group,Time_Since_Start_Days,X_Axis_Time_Days
Regular HS,Filtered Cyano 3,5.12.25 Replicate #2,0.208,2025-05-12,2,Filtered Cyano,Regular HS + Filtered Cyano,5.0,6.0
No Glucose,No Cyano 1,5.12.25 Replicate #2,0.054,2025-05-12,2,No Cyano,No Glucose + No Cyano,5.0,6.0
No Glucose,No Cyano 2,5.12.25 Replicate #2,0.052,2025-05-12,2,No Cyano,No Glucose + No Cyano,5.0,6.0
No Glucose,No Cyano 3,5.12.25 Replicate #2,0.054,2025-05-12,2,No Cyano,No Glucose + No Cyano,5.0,6.0
No Glucose,Unfiltered Cyano 1,5.12.25 Replicate #2,0.28,2025-05-12,2,Unfiltered Cyano,No Glucose + Unfiltered Cyano,5.0,6.0
No Glucose,Unfiltered Cyano 2,5.12.25 Replicate #2,0.295,2025-05-12,2,Unfiltered Cyano,No Glucose + Unfiltered Cyano,5.0,6.0
No Glucose,Unfiltered Cyano 3,5.12.25 Replicate #2,0.197,2025-05-12,2,Unfiltered Cyano,No Glucose + Unfiltered Cyano,5.0,6.0
No Glucose,Filtered Cyano 1,5.12.25 Replicate #2,0.101,2025-05-12,2,Filtered Cyano,No Glucose + Filtered Cyano,5.0,6.0
No Glucose,Filtered Cyano 2,5.12.25 Replicate #2,0.11,2025-05-12,2,Filtered Cyano,No Glucose + Filtered Cyano,5.0,6.0
Regular HS,No Cyano 1,5.13.25 Replicate #1,0.266,2025-05-13,1,No Cyano,Regular HS + No Cyano,6.0,7.0
Regular HS,No Cyano 2,5.13.25 Replicate #1,0.201,2025-05-13,1,No Cyano,Regular HS + No Cyano,6.0,7.0
Regular HS,No Cyano 3,5.13.25 Replicate #1,0.177,2025-05-13,1,No Cyano,Regular HS + No Cyano,6.0,7.0
Regular HS,Unfiltered Cyano 1,5.13.25 Replicate #1,0.412,2025-05-13,1,Unfiltered Cyano,Regular HS + Unfiltered Cyano,6.0,7.0
Regular HS,Unfiltered Cyano 2,5.13.25 Replicate #1,0.328,2025-05-13,1,Unfiltered Cyano,Regular HS + Unfiltered Cyano,6.0,7.0
Regular HS,Unfiltered Cyano 3,5.13.25 Replicate #1,0.573,2025-05-13,1,Unfiltered Cyano,Regular HS + Unfiltered Cyano,6.0,7.0
Regular HS,Filtered Cyano 1,5.13.25 Replicate #1,0.066,2025-05-13,1,Filtered Cyano,Regular HS + Filtered Cyano,6.0,7.0
Regular HS,Filtered Cyano 2,5.13.25 Replicate #1,0.277,2025-05-13,1,Filtered Cyano,Regular HS + Filtered Cyano,6.0,7.0
Regular HS,Filtered Cyano 3,5.13.25 Replicate #1,0.315,2025-05-13,1,Filtered Cyano,Regular HS + Filtered Cyano,6.0,7.0
No Glucose,No Cyano 1,5.13.25 Replicate #1,0.06,2025-05-13,1,No Cyano,No Glucose + No Cyano,6.0,7.0
No Glucose,No Cyano 2,5.13.25 Replicate #1,0.054,2025-05-13,1,No Cyano,No Glucose + No Cyano,6.0,7.0
No Glucose,No Cyano 3,5.13.25 Replicate #1,0.055,2025-05-13,1,No Cyano,No Glucose + No Cyano,6.0,7.0
No Glucose,Unfiltered Cyano 1,5.13.25 Replicate #1,0.319,2025-05-13,1,Unfiltered Cyano,No Glucose + Unfiltered Cyano,6.0,7.0
No Glucose,Unfiltered Cyano 2,5.13.25 Replicate #1,0.303,2025-05-13,1,Unfiltered Cyano,No Glucose + Unfiltered Cyano,6.0,7.0
No Glucose,Unfiltered Cyano 3,5.13.25 Replicate #1,0.203,2025-05-13,1,Unfiltered Cyano,No Glucose + Unfiltered Cyano,6.0,7.0
No Glucose,Filtered Cyano 1,5.13.25 Replicate #1,0.108,2025-05-13,1,Filtered Cyano,No Glucose + Filtered Cyano,6.0,7.0
No Glucose,Filtered Cyano 2,5.13.25 Replicate #1,0.097,2025-05-13,1,Filtered Cyano,No Glucose + Filtered Cyano,6.0,7.0
Regular HS,No Cyano 1,5.13.25 Replicate #2,0.27,2025-05-13,2,No Cyano,Regular HS + No Cyano,6.0,7.0
Regular HS,No Cyano 2,5.13.25 Replicate #2,0.206,2025-05-13,2,No Cyano,Regular HS + No Cyano,6.0,7.0
Regular HS,No Cyano 3,5.13.25 Replicate #2,0.187,2025-05-13,2,No Cyano,Regular HS + No Cyano,6.0,7.0
Regular HS,Unfiltered Cyano 1,5.13.25 Replicate #2,0.329,2025-05-13,2,Unfiltered Cyano,Regular HS + Unfiltered Cyano,6.0,7.0
Regular HS,Unfiltered Cyano 2,5.13.25 Replicate #2,0.324,2025-05-13,2,Unfiltered Cyano,Regular HS + Unfiltered Cyano,6.0,7.0
Regular HS,Unfiltered Cyano 3,5.13.25 Replicate #2,0.57,2025-05-13,2,Unfiltered Cyano,Regular HS + Unfiltered Cyano,6.0,7.0
Regular HS,Filtered Cyano 1,5.13.25 Replicate #2,0.065,2025-05-13,2,Filtered Cyano,Regular HS + Filtered Cyano,6.0,7.0
Regular HS,Filtered Cyano 2,5.13.25 Replicate #2,0.285,2025-05-13,2,Filtered Cyano,Regular HS + Filtered Cyano,6.0,7.0
Regular HS,Filtered Cyano 3,5.13.25 Replicate #2,0.331,2025-05-13,2,Filtered Cyano,Regular HS + Filtered Cyano,6.0,7.0
No Glucose,No Cyano 1,5.13.25 Replicate #2,0.057,2025-05-13,2,No Cyano,No Glucose + No Cyano,6.0,7.0
No Glucose,No Cyano 2,5.13.25 Replicate #2,0.056,2025-05-13,2,No Cyano,No Glucose + No Cyano,6.0,7.0
No Glucose,No Cyano 3,5.13.25 Replicate #2,0.057,2025-05-13,2,No Cyano,No Glucose + No Cyano,6.0,7.0
No Glucose,Unfiltered Cyano 1,5.13.25 Replicate #2,0.31,2025-05-13,2,Unfiltered Cyano,No Glucose + Unfiltered Cyano,6.0,7.0
No Glucose,Unfiltered Cyano 2,5.13.25 Replicate #2,0.305,2025-05-13,2,Unfiltered Cyano,No Glucose + Unfiltered Cyano,6.0,7.0
No Glucose,Unfiltered Cyano 3,5.13.25 Replicate #2,0.207,2025-05-13,2,Unfiltered Cyano,No Glucose + Unfiltered Cyano,6.0,7.0
No Glucose,Filtered Cyano 1,5.13.25 Replicate #2,0.113,2025-05-13,2,Filtered Cyano,No Glucose + Filtered Cyano,6.0,7.0
No Glucose,Filtered Cyano 2,5.13.25 Replicate #2,0.098,2025-05-13,2,Filtered Cyano,No Glucose + Filtered Cyano,6.0,7.0
