Media,Sample,Time_Replicate,OD,Date,Technical_Replicate,Sample_Type,Combined_Group,Time_Since_Start_Days,X_Axis_Time_Days
Regular HS,Unfiltered Cyano 1,5.8.25 Replicate #2,0.299,2025-05-08,2,Unfiltered Cyano,Regular HS + Unfiltered Cyano,1.0,2.0
Regular HS,Unfiltered Cyano 2,5.8.25 Replicate #2,0.223,2025-05-08,2,Unfiltered Cyano,Regular HS + Unfiltered Cyano,1.0,2.0
Regular HS,Unfiltered Cyano 3,5.8.25 Replicate #2,0.275,2025-05-08,2,Unfiltered Cyano,Regular HS + Unfiltered Cyano,1.0,2.0
Regular HS,Filtered Cyano 1,5.8.25 Replicate #2,0.043,2025-05-08,2,Filtered Cyano,Regular HS + Filtered Cyano,1.0,2.0
Regular HS,Filtered Cyano 2,5.8.25 Replicate #2,0.043,2025-05-08,2,Filtered Cyano,Regular HS + Filtered Cyano,1.0,2.0
Regular HS,Filtered Cyano 3,5.8.25 Replicate #2,0.044,2025-05-08,2,Filtered Cyano,Regular HS + Filtered Cyano,1.0,2.0
No Glucose,No Cyano 1,5.8.25 Replicate #2,0.047,2025-05-08,2,No Cyano,No Glucose + No Cyano,1.0,2.0
No Glucose,No Cyano 2,5.8.25 Replicate #2,0.047,2025-05-08,2,No Cyano,No Glucose + No Cyano,1.0,2.0
No Glucose,No Cyano 3,5.8.25 Replicate #2,0.047,2025-05-08,2,No Cyano,No Glucose + No Cyano,1.0,2.0
No Glucose,Unfiltered Cyano 1,5.8.25 Replicate #2,0.352,2025-05-08,2,Unfiltered Cyano,No Glucose + Unfiltered Cyano,1.0,2.0
No Glucose,Unfiltered Cyano 2,5.8.25 Replicate #2,0.303,2025-05-08,2,Unfiltered Cyano,No Glucose + Unfiltered Cyano,1.0,2.0
No Glucose,Unfiltered Cyano 3,5.8.25 Replicate #2,0.202,2025-05-08,2,Unfiltered Cyano,No Glucose + Unfiltered Cyano,1.0,2.0
No Glucose,Filtered Cyano 1,5.8.25 Replicate #2,0.042,2025-05-08,2,Filtered Cyano,No Glucose + Filtered Cyano,1.0,2.0
No Glucose,Filtered Cyano 2,5.8.25 Replicate #2,0.042,2025-05-08,2,Filtered Cyano,No Glucose + Filtered Cyano,1.0,2.0
Regular HS,No Cyano 1,5.9.25 Replicate #1,0.059,2025-05-09,1,No Cyano,Regular HS + No Cyano,2.0,3.0
Regular HS,No Cyano 2,5.9.25 Replicate #1,0.064,2025-05-09,1,No Cyano,Regular HS + No Cyano,2.0,3.0
Regular HS,No Cyano 3,5.9.25 Replicate #1,0.073,2025-05-09,1,No Cyano,Regular HS + No Cyano,2.0,3.0
Regular HS,Unfiltered Cyano 1,5.9.25 Replicate #1,0.348,2025-05-09,1,Unfiltered Cyano,Regular HS + Unfiltered Cyano,2.0,3.0
Regular HS,Unfiltered Cyano 2,5.9.25 Replicate #1,0.269,2025-05-09,1,Unfiltered Cyano,Regular HS + Unfiltered Cyano,2.0,3.0
Regular HS,Unfiltered Cyano 3,5.9.25 Replicate #1,0.657,2025-05-09,1,Unfiltered Cyano,Regular HS + Unfiltered Cyano,2.0,3.0
Regular HS,Filtered Cyano 1,5.9.25 Replicate #1,0.043,2025-05-09,1,Filtered Cyano,Regular HS + Filtered Cyano,2.0,3.0
Regular HS,Filtered Cyano 2,5.9.25 Replicate #1,0.043,2025-05-09,1,Filtered Cyano,Regular HS + Filtered Cyano,2.0,3.0
Regular HS,Filtered Cyano 3,5.9.25 Replicate #1,0.042,2025-05-09,1,Filtered Cyano,Regular HS + Filtered Cyano,2.0,3.0
No Glucose,No Cyano 1,5.9.25 Replicate #1,0.041,2025-05-09,1,No Cyano,No Glucose + No Cyano,2.0,3.0
No Glucose,No Cyano 2,5.9.25 Replicate #1,0.042,2025-05-09,1,No Cyano,No Glucose + No Cyano,2.0,3.0
No Glucose,No Cyano 3,5.9.25 Replicate #1,0.043,2025-05-09,1,No Cyano,No Glucose + No Cyano,2.0,3.0
No Glucose,Unfiltered Cyano 1,5.9.25 Replicate #1,0.395,2025-05-09,1,Unfiltered Cyano,No Glucose + Unfiltered Cyano,2.0,3.0
No Glucose,Unfiltered Cyano 2,5.9.25 Replicate #1,0.369,2025-05-09,1,Unfiltered Cyano,No Glucose + Unfiltered Cyano,2.0,3.0
No Glucose,Unfiltered Cyano 3,5.9.25 Replicate #1,0.205,2025-05-09,1,Unfiltered Cyano,No Glucose + Unfiltered Cyano,2.0,3.0
No Glucose,Filtered Cyano 1,5.9.25 Replicate #1,0.115,2025-05-09,1,Filtered Cyano,No Glucose + Filtered Cyano,2.0,3.0
No Glucose,Filtered Cyano 2,5.9.25 Replicate #1,0.044,2025-05-09,1,Filtered Cyano,No Glucose + Filtered Cyano,2.0,3.0
Regular HS,No Cyano 1,5.9.25 Replicate #2,0.062,2025-05-09,2,No Cyano,Regular HS + No Cyano,2.0,3.0
Regular HS,No Cyano 2,5.9.25 Replicate #2,0.069,2025-05-09,2,No Cyano,Regular HS + No Cyano,2.0,3.0
Regular HS,No Cyano 3,5.9.25 Replicate #2,0.086,2025-05-09,2,No Cyano,Regular HS + No Cyano,2.0,3.0
Regular HS,Unfiltered Cyano 1,5.9.25 Replicate #2,0.413,2025-05-09,2,Unfiltered Cyano,Regular HS + Unfiltered Cyano,2.0,3.0
Regular HS,Unfiltered Cyano 2,5.9.25 Replicate #2,0.303,2025-05-09,2,Unfiltered Cyano,Regular HS + Unfiltered Cyano,2.0,3.0
Regular HS,Unfiltered Cyano 3,5.9.25 Replicate #2,0.653,2025-05-09,2,Unfiltered Cyano,Regular HS + Unfiltered Cyano,2.0,3.0
Regular HS,Filtered Cyano 1,5.9.25 Replicate #2,0.045,2025-05-09,2,Filtered Cyano,Regular HS + Filtered Cyano,2.0,3.0
Regular HS,Filtered Cyano 2,5.9.25 Replicate #2,0.043,2025-05-09,2,Filtered Cyano,Regular HS + Filtered Cyano,2.0,3.0
Regular HS,Filtered Cyano 3,5.9.25 Replicate #2,0.043,2025-05-09,2,Filtered Cyano,Regular HS + Filtered Cyano,2.0,3.0
No Glucose,No Cyano 1,5.9.25 Replicate #2,0.048,2025-05-09,2,No Cyano,No Glucose + No Cyano,2.0,3.0
No Glucose,No Cyano 2,5.9.25 Replicate #2,0.043,2025-05-09,2,No Cyano,No Glucose + No Cyano,2.0,3.0
No Glucose,No Cyano 3,5.9.25 Replicate #2,0.043,2025-05-09,2,No Cyano,No Glucose + No Cyano,2.0,3.0
No Glucose,Unfiltered Cyano 1,5.9.25 Replicate #2,0.436,2025-05-09,2,Unfiltered Cyano,No Glucose + Unfiltered Cyano,2.0,3.0
No Glucose,Unfiltered Cyano 2,5.9.25 Replicate #2,0.368,2025-05-09,2,Unfiltered Cyano,No Glucose + Unfiltered Cyano,2.0,3.0
No Glucose,Unfiltered Cyano 3,5.9.25 Replicate #2,0.22,2025-05-09,2,Unfiltered Cyano,No Glucose + Unfiltered Cyano,2.0,3.0
No Glucose,Filtered Cyano 1,5.9.25 Replicate #2,0.119,2025-05-09,2,Filtered Cyano,No Glucose + Filtered Cyano,2.0,3.0
No Glucose,Filtered Cyano 2,5.9.25 Replicate #2,0.064,2025-05-09,2,Filtered Cyano,No Glucose + Filtered Cyano,2.0,3.0
Regular HS,No Cyano 1,5.10.25 Replicate #1,0.081,2025-05-10,1,No Cyano,Regular HS + No Cyano,3.0,4.0
Regular HS,No Cyano 2,5.10.25 Replicate #1,0.085,2025-05-10,1,No Cyano,Regular HS + No Cyano,3.0,4.0
Regular HS,No Cyano 3,5.10.25 Replicate #1,0.137,2025-05-10,1,No Cyano,Regular HS + No Cyano,3.0,4.0
Regular HS,Unfiltered Cyano 1,5.10.25 Replicate #1,0.452,2025-05-10,1,Unfiltered Cyano,Regular HS + Unfiltered Cyano,3.0,4.0
Regular HS,Unfiltered Cyano 2,5.10.25 Replicate #1,0.535,2025-05-10,1,Unfiltered Cyano,Regular HS + Unfiltered Cyano,3.0,4.0
Regular HS,Unfiltered Cyano 3,5.10.25 Replicate #1,0.766,2025-05-10,1,Unfiltered Cyano,Regular HS + Unfiltered Cyano,3.0,4.0
Regular HS,Filtered Cyano 1,5.10.25 Replicate #1,0.041,2025-05-10,1,Filtered Cyano,Regular HS + Filtered Cyano,3.0,4.0
Regular HS,Filtered Cyano 2,5.10.25 Replicate #1,0.081,2025-05-10,1,Filtered Cyano,Regular HS + Filtered Cyano,3.0,4.0
Regular HS,Filtered Cyano 3,5.10.25 Replicate #1,0.085,2025-05-10,1,Filtered Cyano,Regular HS + Filtered Cyano,3.0,4.0
No Glucose,No Cyano 1,5.10.25 Replicate #1,0.048,2025-05-10,1,No Cyano,No Glucose + No Cyano,3.0,4.0
No Glucose,No Cyano 2,5.10.25 Replicate #1,0.048,2025-05-10,1,No Cyano,No Glucose + No Cyano,3.0,4.0
No Glucose,No Cyano 3,5.10.25 Replicate #1,0.048,2025-05-10,1,No Cyano,No Glucose + No Cyano,3.0,4.0
No Glucose,Unfiltered Cyano 1,5.10.25 Replicate #1,0.528,2025-05-10,1,Unfiltered Cyano,No Glucose + Unfiltered Cyano,3.0,4.0
No Glucose,Unfiltered Cyano 2,5.10.25 Replicate #1,0.463,2025-05-10,1,Unfiltered Cyano,No Glucose + Unfiltered Cyano,3.0,4.0
No Glucose,Unfiltered Cyano 3,5.10.25 Replicate #1,0.27,2025-05-10,1,Unfiltered Cyano,No Glucose + Unfiltered Cyano,3.0,4.0
