Sample,Media,Sample_Type,X_Axis_Time_Days,OD_mean,OD_std,OD_count
No Cyano 4,No Glucose,No Cyano,3,0.0485,0.0007071067811865482,2
No Cyano 4,No Glucose,No Cyano,4,0.054,0.0014142135623730963,2
No Cyano 4,No Glucose,No Cyano,5,0.053,0.0014142135623730963,2
No Cyano 4,No Glucose,No Cyano,6,0.056,0.0014142135623730963,2
No Cyano 4,Regular HS,No Cyano,1,0.071,0.0,2
No Cyano 4,Regular HS,No Cyano,2,0.20800000000000002,0.08626702730475883,2
No Cyano 4,Regular HS,No Cyano,3,0.1395,0.004949747468305807,2
No Cyano 4,Regular HS,No Cyano,4,0.174,0.0,2
No Cyano 4,Regular HS,No Cyano,5,0.1755,0.004949747468305837,2
No Cyano 4,Regular HS,No Cyano,6,0.176,0.025455844122715725,2
No Cyano 5,No Glucose,No Cyano,1,0.0535,0.0007071067811865482,2
No Cyano 5,No Glucose,No Cyano,2,0.056,0.0014142135623730963,2
No Cyano 5,No Glucose,No Cyano,3,0.0975,0.0007071067811865482,2
No Cyano 5,No Glucose,No Cyano,4,0.111,0.007071067811865481,2
No Cyano 5,No Glucose,No Cyano,5,0.093,0.0014142135623730963,2
No Cyano 5,No Glucose,No Cyano,6,0.111,0.004242640687119289,2
No Cyano 5,Regular HS,No Cyano,0,0.039,0.0,1
No Cyano 5,Regular HS,No Cyano,1,0.047,0.0028284271247461927,2
No Cyano 5,Regular HS,No Cyano,2,0.0605,0.0021213203435596446,2
No Cyano 5,Regular HS,No Cyano,3,0.082,0.0014142135623730963,2
No Cyano 5,Regular HS,No Cyano,4,0.1095,0.0007071067811865482,2
No Cyano 5,Regular HS,No Cyano,5,0.1955,0.0007071067811865482,2
No Cyano 5,Regular HS,No Cyano,6,0.268,0.0028284271247461927,2
No Cyano 6,No Glucose,No Cyano,1,0.051500000000000004,0.0035355339059327333,2
No Cyano 6,No Glucose,No Cyano,2,0.058499999999999996,0.0007071067811865408,2
No Cyano 6,No Glucose,No Cyano,3,0.086,0.0014142135623730816,2
No Cyano 6,No Glucose,No Cyano,4,0.1015,0.012020815280171303,2
No Cyano 6,No Glucose,No Cyano,5,0.075,0.0014142135623730963,2
No Cyano 6,No Glucose,No Cyano,6,0.1405,0.002121320343559615,2
No Cyano 6,Regular HS,No Cyano,0,0.044,0.0,1
No Cyano 6,Regular HS,No Cyano,1,0.0485,0.0007071067811865482,2
No Cyano 6,Regular HS,No Cyano,2,0.0665,0.0035355339059327407,2
No Cyano 6,Regular HS,No Cyano,3,0.08549999999999999,0.0007071067811865433,2
No Cyano 6,Regular HS,No Cyano,4,0.0885,0.0007071067811865482,2
No Cyano 6,Regular HS,No Cyano,5,0.14,0.005656854249492356,2
No Cyano 6,Regular HS,No Cyano,6,0.20350000000000001,0.0035355339059327112,2
No Cyano 7,No Glucose,No Cyano,1,0.05,0.001414213562373089,2
No Cyano 7,No Glucose,No Cyano,2,0.076,0.0,2
No Cyano 7,No Glucose,No Cyano,3,0.08099999999999999,0.011313708498984765,2
No Cyano 7,No Glucose,No Cyano,4,0.079,0.0,2
No Cyano 7,No Glucose,No Cyano,5,0.079,0.0014142135623730963,2
No Cyano 7,No Glucose,No Cyano,6,0.138,0.0,2
No Cyano 7,Regular HS,No Cyano,0,0.041,0.0,1
No Cyano 7,Regular HS,No Cyano,1,0.0505,0.0007071067811865457,2
No Cyano 7,Regular HS,No Cyano,2,0.07949999999999999,0.009192388155425122,2
No Cyano 7,Regular HS,No Cyano,3,0.116,0.029698484809835002,2
No Cyano 7,Regular HS,No Cyano,4,0.0915,0.010606601717798217,2
No Cyano 7,Regular HS,No Cyano,5,0.1275,0.0035355339059327407,2
No Cyano 7,Regular HS,No Cyano,6,0.182,0.007071067811865481,2
