,Time,Force (Newtons),Distance (millimeters)
0,1,0.009207020424419982,9.765625e-05
1,10,0.009207020424419982,9.765625e-05
2,18,0.009207020424419982,9.765625e-05
3,25,0.009207020424419982,9.765625e-05
4,33,0.009977823114419982,9.765625e-05
5,41,0.009977823114419982,0.0001953125
6,47,0.009977823114419982,0.0001953125
7,56,0.009977823114419982,0.0001953125
8,111,0.009977823114419982,0.00048828125
9,130,0.00913347054941998,0.0005859375
10,138,0.00831657660441998,0.0006835937500000001
11,146,0.00831657660441998,0.0006835937500000001
12,153,0.00831657660441998,0.00078125
13,161,0.00831657660441998,0.0008789062499999999
14,168,0.00831657660441998,0.0008789062499999999
15,175,0.00831657660441998,0.0009765625
16,183,0.00831657660441998,0.00107421875
17,191,0.00831657660441998,0.00107421875
18,197,0.00831657660441998,0.001171875
19,205,0.00831657660441998,0.00126953125
20,212,0.00831657660441998,0.0013671875000000001
21,221,0.00831657660441998,0.0013671875000000001
22,313,-0.002418763150580019,0.00263671875
23,320,-0.002418763150580019,0.0027343750000000003
24,326,-0.009031387245580018,0.00283203125
25,333,-0.015377270460580019,0.0029296875
26,340,-0.015377270460580019,0.00302734375
27,347,-0.015377270460580019,0.003125
28,355,-0.015377270460580019,0.0032226562500000003
29,362,-0.015377270460580019,0.00341796875
30,370,-0.015377270460580019,0.0035156249999999997
31,378,-0.015377270460580019,0.00361328125
32,384,-0.015377270460580019,0.0037109375
33,390,-0.015377270460580019,0.00390625
34,397,-0.015377270460580019,0.00400390625
35,405,-0.015377270460580019,0.0041015625
36,411,-0.015377270460580019,0.00419921875
37,417,-0.015377270460580019,0.00439453125
38,424,-0.02120143989558002,0.0044921875000000005
39,430,-0.026787307735580017,0.004589843749999999
40,438,-0.026787307735580017,0.00478515625
41,445,-0.026787307735580017,0.0048828125
42,451,-0.026787307735580017,0.005078125
43,459,-0.026787307735580017,0.005175781250000001
44,465,-0.026787307735580017,0.00537109375
45,473,-0.026787307735580017,0.0054687500000000005
46,481,-0.026787307735580017,0.0056640625
47,491,-0.026787307735580017,0.005859375
48,498,-0.026787307735580017,0.0060546875
49,506,-0.026787307735580017,0.00625
50,513,-0.026787307735580017,0.0064453125000000005
51,521,-0.030822744210580018,0.006640625000000001
52,528,-0.03468754497558002,0.0067382812499999995
53,535,-0.03468754497558002,0.00693359375
54,542,-0.03468754497558002,0.00712890625
55,550,-0.03468754497558002,0.00732421875
56,556,-0.03468754497558002,0.007421875
57,563,-0.03468754497558002,0.007617187500000001
58,571,-0.03468754497558002,0.0078125
59,578,-0.03468754497558002,0.0080078125
60,584,-0.03468754497558002,0.008203125
61,592,-0.03468754497558002,0.0083984375
62,598,-0.03468754497558002,0.00859375
63,606,-0.03468754497558002,0.0087890625
64,613,-0.033668634040580014,0.008984375000000001
65,621,-0.03244084146058002,0.009179687499999999
66,629,-0.03244084146058002,0.009375
67,636,-0.03244084146058002,0.0095703125
68,644,-0.03244084146058002,0.00986328125
69,654,-0.03244084146058002,0.01015625
70,687,-0.03244084146058002,0.011132812499999999
71,697,-0.03244084146058002,0.01142578125
72,707,-0.03244084146058002,0.01171875
73,714,-0.029677327490580014,0.01201171875
74,724,-0.026983440735580018,0.0123046875
75,731,-0.026983440735580018,0.0125
76,740,-0.026983440735580018,0.012792968750000001
77,748,-0.026983440735580018,0.0130859375
78,756,-0.026983440735580018,0.013378906250000001
79,770,-0.026983440735580018,0.013671875
80,779,-0.026983440735580018,0.01416015625
81,788,-0.026983440735580018,0.014453125
82,795,-0.026983440735580018,0.01474609375
83,804,-0.026983440735580018,0.0150390625
84,812,-0.024468035010580022,0.015332031250000001
85,819,-0.02203892780558002,0.015625
86,828,-0.02203892780558002,0.015917968749999997
87,835,-0.02203892780558002,0.01611328125
88,842,-0.02203892780558002,0.01640625
89,849,-0.02203892780558002,0.01669921875
90,857,-0.02203892780558002,0.0169921875
91,864,-0.02203892780558002,0.01728515625
92,874,-0.02203892780558002,0.01767578125
93,881,-0.02203892780558002,0.01787109375
94,889,-0.02203892780558002,0.018261718750000003
95,898,-0.02203892780558002,0.018652343749999998
96,906,-0.01947841149058002,0.0189453125
97,914,-0.01947841149058002,0.01923828125
98,922,-0.01698359973058002,0.019628906249999998
99,929,-0.01698359973058002,0.019824218749999997
100,937,-0.01698359973058002,0.02021484375
101,945,-0.01698359973058002,0.0205078125
102,954,-0.01698359973058002,0.020898437500000002
103,963,-0.01698359973058002,0.0212890625
104,972,-0.01698359973058002,0.021679687500000003
105,980,-0.01698359973058002,0.022070312499999998
106,989,-0.01698359973058002,0.0224609375
107,996,-0.01698359973058002,0.02275390625
108,1005,-0.01431030694058002,0.023144531250000003
109,1012,-0.01431030694058002,0.0234375
110,1020,-0.011621323510580019,0.023828125
111,1028,-0.011621323510580019,0.024121093750000003
112,1035,-0.011621323510580019,0.024511718749999998
113,1043,-0.011621323510580019,0.0248046875
114,1050,-0.011621323510580019,0.0251953125
115,1058,-0.011621323510580019,0.025585937500000003
116,1065,-0.011621323510580019,0.02587890625
117,1072,-0.011621323510580019,0.02626953125
118,1080,-0.011621323510580019,0.02666015625
119,1088,-0.011621323510580019,0.026953124999999998
120,1096,-0.008762685035580019,0.02734375
121,1103,-0.008762685035580019,0.027734375
122,1111,-0.005856974640580019,0.028124999999999997
123,1119,-0.005856974640580019,0.028515625
124,1127,-0.005856974640580019,0.02890625
125,1135,-0.005856974640580019,0.029296875
126,1143,-0.005856974640580019,0.0296875
127,1153,-0.005856974640580019,0.03017578125
128,1205,-0.003076789365580019,0.03291015625
