,Time,Force (Newtons),Distance (millimeters)
0,2,-0.01196821414103,9.765625e-05
1,11,-0.01196821414103,9.765625e-05
2,20,-0.01196821414103,9.765625e-05
3,27,-0.01196821414103,9.765625e-05
4,36,-0.01196821414103,9.765625e-05
5,43,-0.012483063266030001,0.0001953125
6,51,-0.012483063266030001,0.0001953125
7,58,-0.012483063266030001,0.0001953125
8,67,-0.012483063266030001,0.00029296875
9,74,-0.012483063266030001,0.00029296875
10,82,-0.012483063266030001,0.00029296875
11,88,-0.012483063266030001,0.000390625
12,96,-0.01451500114603,0.000390625
13,102,-0.01451500114603,0.000390625
14,111,-0.01451500114603,0.00048828125
15,117,-0.01451500114603,0.00048828125
16,166,-0.02135808151603,0.0008789062499999999
17,183,-0.02135808151603,0.0009765625
18,190,-0.04167451832103,0.00107421875
19,198,-0.04167451832103,0.001171875
20,205,-0.04167451832103,0.00126953125
21,213,-0.04167451832103,0.00126953125
22,220,-0.04167451832103,0.0013671875000000001
23,228,-0.04167451832103,0.00146484375
24,236,-0.07183683172602999,0.0015625
25,244,-0.07183683172602999,0.0016601562500000002
26,250,-0.07183683172602999,0.0017578124999999998
27,258,-0.07183683172602999,0.00185546875
28,265,-0.07183683172602999,0.001953125
29,272,-0.07183683172602999,0.001953125
30,279,-0.07183683172602999,0.00205078125
31,287,-0.10736436334602999,0.0022460937500000003
32,295,-0.10736436334602999,0.00234375
33,301,-0.10736436334602999,0.00244140625
34,308,-0.10736436334602999,0.0025390625
35,316,-0.10736436334602999,0.00263671875
36,322,-0.10736436334602999,0.0027343750000000003
37,330,-0.10736436334602999,0.00283203125
38,337,-0.14302330407602998,0.0029296875
39,344,-0.14302330407602998,0.00302734375
40,352,-0.14302330407602998,0.003125
41,359,-0.14302330407602998,0.0033203125000000003
42,366,-0.14302330407602998,0.00341796875
43,373,-0.14302330407602998,0.0035156249999999997
44,381,-0.14302330407602998,0.0037109375
45,388,-0.17583831630603,0.0038085937500000003
46,395,-0.17583831630603,0.00390625
47,402,-0.17583831630603,0.00400390625
48,409,-0.17583831630603,0.00419921875
49,416,-0.17583831630603,0.004296875
50,423,-0.17583831630603,0.0044921875000000005
51,431,-0.20797666968602999,0.004589843749999999
52,438,-0.20797666968602999,0.00478515625
53,446,-0.20797666968602999,0.0048828125
54,452,-0.20797666968602999,0.005078125
55,460,-0.20797666968602999,0.005175781250000001
56,467,-0.20797666968602999,0.00537109375
57,475,-0.20797666968602999,0.0054687500000000005
58,482,-0.23648165924102996,0.0056640625
59,489,-0.23648165924102996,0.005859375
60,496,-0.23648165924102996,0.00595703125
61,503,-0.23648165924102996,0.00615234375
62,510,-0.23648165924102996,0.00634765625
63,518,-0.23648165924102996,0.0064453125000000005
64,525,-0.23648165924102996,0.006640625000000001
65,533,-0.25985384818603,0.0068359375
66,539,-0.25985384818603,0.007031249999999999
67,547,-0.25985384818603,0.00712890625
68,553,-0.25985384818603,0.00732421875
69,561,-0.25985384818603,0.00751953125
70,568,-0.25985384818603,0.00771484375
71,577,-0.26797473505103003,0.007910156250000001
72,583,-0.26797473505103003,0.008105468749999999
73,591,-0.26797473505103003,0.00830078125
74,598,-0.26797473505103003,0.00849609375
75,606,-0.26797473505103003,0.00869140625
76,612,-0.26797473505103003,0.00888671875
77,620,-0.26797473505103003,0.00908203125
78,678,-0.25682849666102997,0.009375
79,687,-0.25682849666102997,0.011035156249999999
80,708,-0.25682849666102997,0.01171875
81,716,-0.25682849666102997,0.01201171875
82,724,-0.24716502375103,0.01220703125
83,732,-0.24716502375103,0.0125
84,742,-0.24716502375103,0.012890625000000001
85,750,-0.24716502375103,0.0130859375
86,758,-0.24716502375103,0.013378906250000001
87,768,-0.24716502375103,0.013671875
88,775,-0.23886369452603,0.013964843749999999
89,784,-0.23886369452603,0.0142578125
90,793,-0.23886369452603,0.0146484375
91,802,-0.23886369452603,0.01484375
92,809,-0.23886369452603,0.01513671875
93,817,-0.23886369452603,0.0154296875
94,823,-0.23043782084602998,0.01572265625
95,831,-0.23043782084602998,0.016015625
96,841,-0.23043782084602998,0.01630859375
97,853,-0.23043782084602998,0.016796875
98,860,-0.23043782084602998,0.01708984375
99,868,-0.22254739025602996,0.0173828125
100,877,-0.22254739025602996,0.01767578125
101,884,-0.22254739025602996,0.017968750000000002
102,891,-0.22254739025602996,0.018261718750000003
103,899,-0.22254739025602996,0.0185546875
104,909,-0.22254739025602996,0.0189453125
105,917,-0.22254739025602996,0.0193359375
106,926,-0.21411269059102997,0.019628906249999998
107,934,-0.21411269059102997,0.02001953125
108,941,-0.21411269059102997,0.0203125
109,949,-0.21411269059102997,0.020605468749999998
110,956,-0.21411269059102997,0.020898437500000002
111,964,-0.20582901333603001,0.0212890625
112,971,-0.20582901333603001,0.02158203125
113,979,-0.20582901333603001,0.021875000000000002
114,987,-0.20582901333603001,0.022265624999999997
115,994,-0.20582901333603001,0.02255859375
116,1001,-0.20582901333603001,0.02294921875
117,1009,-0.20582901333603001,0.023242187499999997
118,1017,-0.19674707477102998,0.02353515625
119,1024,-0.19674707477102998,0.02392578125
120,1032,-0.19674707477102998,0.02421875
121,1039,-0.19674707477102998,0.024609375
122,1047,-0.19674707477102998,0.025
123,1055,-0.19674707477102998,0.02529296875
124,1065,-0.18776516403602997,0.025781250000000002
125,1072,-0.18776516403602997,0.026171875
126,1080,-0.18776516403602997,0.02646484375
127,1087,-0.18776516403602997,0.02685546875
128,1095,-0.18776516403602997,0.02724609375
129,1102,-0.18776516403602997,0.0275390625
130,1109,-0.18776516403602997,0.027929687499999998
